,Unnamed: 0,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Total_Cases/1M pop,Deaths/1M pop,TotalTests,"Tests
1M pop",Latitude,Longitude
39,40,Arkansas,"3,469",11,80,,"1,348","1,160",27,"54,608","18,259",35.2048883,-92.4479108
40,41,Oregon,"2,759",,109,,"1,790",676,27,"63,443","15,542",44.290253,-121.5502265
41,42,South Dakota,"2,668",,21,,817,"3,087",24,"18,713","21,651",30.528989,-98.357235
42,43,New Hampshire,"2,588",,86,,"1,483","1,926",64,"30,836","22,950",42.9183579,-71.4266478
43,44,Idaho,"2,106",,64,,684,"1,248",38,"30,146","17,861",43.6447642,-114.0154071
44,45,North Dakota,"1,266",41,25,,682,"1,683",33,"36,421","48,419",47.9505533,-97.1710836
45,46,West Virginia,"1,238",14,50,,616,677,27,"54,823","29,973",47.5156127,-92.5701953
46,47,Maine,"1,226",21,61,4,424,920,46,"20,641","15,487",43.5070169,-70.3919149
47,48,Vermont,907,5,52,,855,"1,451",83,"17,518","28,030",44.5990718,-72.5002608
48,49,Hawaii,621,,17,,56,437,12,"34,711","24,409",19.6675505,-155.9967158
49,50,Wyoming,596,,7,,184,"1,024",12,"10,454","17,967",43.1700264,-107.5685348
50,51,Montana,457,,16,,31,439,15,"15,272","14,660",62.0797222,-150.0727778
51,52,Alaska,370,,9,,98,501,12,"21,723","29,414",61.1871952,-150.0009214
52,53,Guam,149,,5,,13,,,605,,13.4501257,144.757551
53,54,Northern Mariana Islands,14,,2,,0,,,948,,14.1490205,145.2134525
54,55,Puerto Rico,"1,924",81,99,2,"1,450",568,29,"13,022","3,845",18.4066651,-66.0497825
55,56,United States Virgin Islands,66,,4,,11,,,"1,046",,17.789187,-64.7080574
56,57,Veteran Affairs,"9,627",,722,,"8,905",,,"107,178",,33.8008734,-84.3128071
57,58,US Military,"7,434",,27,,"4,539",,,,,59.7878683,132.6829939
58,59,Navajo Nation,"2,373",,73,,"2,300",,,"11,627",,36.3089731,-109.325688
59,60,Federal Prisons,"2,340",,40,,"1,608",,,,,37.84269,-90.504733
60,61,Grand Princess Ship,103,,3,,100,,,,,41.141023,-94.984766
61,62,Wuhan Repatriated,3,,,,3,,,3,,20.88191,-156.520641
62,63,Diamond Princess Ship,46,,,,46,,,46,,39.766121,-105.606489
63,64,Total:,"1,218,638","5,803","70,727",806,"959,133","3,682",214,"7,535,605","22,766",45.420063,12.3751361
